experiment_id,config,model,prompt_hash,retrieved_ids,status,prediction,malware_probability,confidence,latency_sec,prompt_tokens,completion_tokens,evidence_count
E1163,retrieval_assisted,qwen3.8-flash,0e00b4c3bcc11b02f48b665d2960d93d7cbcaa36f94f799ccd5c9843b6fcd161,"E1015,E31920,E57590",success,benign,0.08,0.92,14.937,1410,690,5
E1166,retrieval_assisted,qwen3.8-flash,f9df477da001777aa3777adcff2e94e2a86c0d15f64daab043ff157fb542756f,"E5248,E6640,E14179",success,malicious,0.95,0.95,11.271,1293,516,3
E1170,retrieval_assisted,qwen3.8-flash,15d6af1e1ccecb691101caf4b946e26ff9a658c3b9d32e651deb119c6cd93022,"E1169,E3487,E18930",success,malicious,0.95,0.95,12.089,1462,612,3
E1175,retrieval_assisted,qwen3.8-flash,65bdd020bb37215d2ea88fc086874834a76c9cfa6c3911abd10ffedbf3c257c7,"E3025,E3060,E3140",success,benign,0.05,0.95,5.877,1198,356,6
E1190,retrieval_assisted,qwen3.8-flash,e5282b0b05ad6e13bdfdf0ea9f1723d862953e73ebce8f7657f8a2f4c496eac5,"E32851,E3678,E52782",success,benign,0.05,0.95,11.214,1696,583,4
E1195,retrieval_assisted,qwen3.8-flash,b99100726b7e160ac857725449784485277a50a4fe146eda258f23f714371702,"E1132,E1229,E1517",success,benign,0.05,0.98,5.595,1160,305,5
E1196,retrieval_assisted,qwen3.8-flash,e89329fe168bb8348e54ea4f48342603b4efe04ec73a4c9cfabcb4486b29e4af,"E3225,E3840,E45312",success,malicious,0.95,0.95,12.741,1445,676,4
E1206,retrieval_assisted,qwen3.8-flash,b72d9df7b9920a5958b43239ce9f92a9d789595f61312598b0acd39322978a2f,"E8401,E9336,E17339",success,benign,0.05,0.95,5.422,1322,329,4
E1208,retrieval_assisted,qwen3.8-flash,2bb958d93e04a302fadcf325b68f04de70e1321b906e6cd6b3fa8dea5e8a5951,"E2963,E426,E10833",success,benign,0.05,0.98,7.393,1314,471,5
E1209,retrieval_assisted,qwen3.8-flash,a150b2edf606cba7716e698d496cfa0f8d0822c8e758864b14b5a54ed5b4b394,"E43524,E28984,E13770",success,benign,0.05,0.95,17.448,1568,914,5
E1213,retrieval_assisted,qwen3.8-flash,b950cdf7329418a1a2e4e27f56a3eddc60bc81f1d766b87249434cbd84ea7cb7,"E135,E1480,E248",success,malicious,0.85,0.9,23.344,1178,1039,4
E1216,retrieval_assisted,qwen3.8-flash,18ef02c859d659e958b8701918c2810c5f8e525cd35e816eea63f63b4ad7f0fd,"E53693,E56507,E24936",api_error: API failed after 3 attempts: The read operation ti,,,,60.086,0,0,0
E1221,retrieval_assisted,qwen3.8-flash,b38b0a2a275a2cef78b6f24878aee00b21aee2b9bf9fc0388a9803d4cf276774,"E1132,E1229,E1517",success,benign,0.01,0.99,6.726,1160,451,4
E123,retrieval_assisted,qwen3.8-flash,709f5de5d9e86a1e765c74ef038fe2e34e307f61dd4d280f92ff1edadaade082,"E3025,E3060,E3140",success,benign,0.01,0.99,5.884,1197,287,4
E1237,retrieval_assisted,qwen3.8-flash,c0dc55a13b6a25823105dd49878a5255ebab9327fbdc791ebff10e8e7b1b6d81,"E9192,E17378,E27095",success,benign,0.15,0.9,23.42,1254,1609,5
E1240,retrieval_assisted,qwen3.8-flash,55709b5c888e5c7b4589be8c427a2b5763c6be69331620ac936f4d3909b05a6a,"E150,E22210,E16858",success,malicious,0.65,0.75,13.578,1249,944,4
E1242,retrieval_assisted,qwen3.8-flash,8a18cd12541a317ff47c3dfeebc956fcb3c8336e2062a64ed043a3d5051938b2,"E11631,E33007,E38891",success,benign,0.05,0.98,12.213,1291,601,4
E1245,retrieval_assisted,qwen3.8-flash,9be2835019ab8172b63b5ed834e73c427d78e6431e99dc4892c3cbae4720252d,"E1308,E2375,E714",success,benign,0.05,0.95,7.823,1322,299,4
E125,retrieval_assisted,qwen3.8-flash,023fe29f231d22b231760b3e161d32c81be98d67dfbb2097bd401f98585c90b3,"E9754,E17273,E18102",success,benign,0.05,0.95,11.02,1313,587,5
E1257,retrieval_assisted,qwen3.8-flash,8c0f0339e739b21c9fde6160e27d77458102dd3b9ec33a3ee7aa004ec31c246c,"E4,E4343,E12636",success,benign,0.05,0.95,16.658,1246,1082,4
E1267,retrieval_assisted,qwen3.8-flash,a9f2f3cbb04e1ffe773a3ffe1f4beb1aaad9d4897459aa687b96794f5b8ad97e,"E1214,E17383,E35728",success,benign,0.05,0.95,7.324,1334,371,5
E1272,retrieval_assisted,qwen3.8-flash,023a23659e136abc593c2d0c8ebe69890c080a042167bfb7ad4d8ee3a883f782,"E15199,E38656,E2136",success,benign,0.05,0.95,4.734,1183,304,4
E1289,retrieval_assisted,qwen3.8-flash,ce0273aebce7160c36bbe4f33ce9474529e163dfd3c76378a3659932f9d82e9a,"E3614,E1927,E1969",success,benign,0.35,0.75,31.833,1321,2285,4
E1299,retrieval_assisted,qwen3.8-flash,ed79412a1b07cc21abaecddb2c427ca7673a0636d4ecca3bf55999877ca2eead,"E2271,E3237,E3711",success,benign,0.05,0.95,9.339,1281,300,4
E130,retrieval_assisted,qwen3.8-flash,a5667ac66746b5ebc315ce154e1826f2193c5a89be8322f8d3bdfb72e3a36dc4,"E2271,E3237,E3711",success,benign,0.05,0.98,7.25,1280,362,4
E1300,retrieval_assisted,qwen3.8-flash,8d5823e5ffad57ca7ec6797082d78a32d2c488950a0f8f745e46ea0b351d5516,"E2271,E3237,E3711",success,benign,0.05,0.98,8.739,1281,353,6
E1303,retrieval_assisted,qwen3.8-flash,340da0e9d494bab8740e4014eb2ac5ea41744ecb424cd6deefd2a7ae316e2758,"E1497,E310,E4036",success,benign,0.05,0.95,6.906,1369,356,5
E1304,retrieval_assisted,qwen3.8-flash,8faad8189f3d4475e66cb93639469b5e39b0966fe8264c1c80a594ab08c5cd7e,"E3025,E3060,E3140",success,benign,0.05,0.95,6.033,1198,403,4
E1312,retrieval_assisted,qwen3.8-flash,d8e0641ff81a31347ba74c49f2a933caa1f3078d126a16dc5551d0db26922e01,"E15264,E42770,E6573",success,malicious,0.93,0.9,10.252,1388,502,6
E1320,retrieval_assisted,qwen3.8-flash,fc9e116aa271b5f830376da1e1dd6ebdfe0ae3dc0dc1b4c3f9415493993045ef,"E3025,E3060,E3140",success,benign,0.05,0.95,7.781,1198,315,4
E1323,retrieval_assisted,qwen3.8-flash,53d44c0e6e9189a5f28f15bc42c384f85cc9609f9218ccdb77d25b6cecf1afc8,"E1568,E327,E5378",success,benign,0.05,0.95,15.453,1310,844,5
E1324,retrieval_assisted,qwen3.8-flash,47be5fbeacf6b668ef38442545e27e2925590ed3d89cb6f3ffb93ae62c92c1d7,"E7314,E8059,E10107",success,benign,0.03,0.98,6.526,1238,252,4
E1325,retrieval_assisted,qwen3.8-flash,269daa8eb6a5e87b5355fd0c275d910bf11638e7eb4e85d31680eb49ebe124f8,"E16844,E46425,E51924",success,benign,0.05,0.98,7.142,1212,417,4
E1327,retrieval_assisted,qwen3.8-flash,9b478b0cfe9b942ccc8052fa18b048c5f421277b4b7e26d5c448ed75c36810a9,"E37552,E3840,E45312",success,malicious,0.95,0.98,7.665,1466,391,4
E1333,retrieval_assisted,qwen3.8-flash,d6b7e51d134ab90f496a6d7802b65680a975dcc44fe07517d7b0b5c9925d73a3,"E3025,E3060,E3140",success,benign,0.05,0.95,6.239,1201,376,5
E1346,retrieval_assisted,qwen3.8-flash,ac3799e59f9fda651a5c0ba59969369a67aa747050ee870f9be17fb77fc245ac,"E2271,E3237,E3711",success,benign,0.05,0.98,8.174,1281,371,4
E1351,retrieval_assisted,qwen3.8-flash,bcaf22c1e0af82e6d1a82dfb83ff5604e4e51359786321bd1ead6f773f55e1e5,"E44116,E35701,E41030",success,benign,0.08,0.92,10.48,1334,419,5
E1353,retrieval_assisted,qwen3.8-flash,14051218da58f9171fba2576f1ab5f915ba914b47485abedf5dfb84e2407e858,"E1784,E7069,E12762",success,benign,0.05,0.95,8.909,1239,445,4
E1356,retrieval_assisted,qwen3.8-flash,a8f0e151c53da39caa2a5ae6df0d91e67f98513811dc6487b30e7c574a50221b,"E26866,E60269,E39081",success,benign,0.05,0.95,14.166,1256,764,4
E1360,retrieval_assisted,qwen3.8-flash,9fadc6b3d9c44715322dd52e4fa69e8074f94f71d1f6c32e4b9a46c9216c1f2c,"E405,E8105,E10116",success,benign,0.05,0.98,10.11,1238,503,5
E1361,retrieval_assisted,qwen3.8-flash,c695646ac651eacc69d0d6f132e26f641320e974e771fed95631806ef4a35521,"E1231,E1457,E1676",success,benign,0.05,0.95,6.847,1211,315,4
E1373,retrieval_assisted,qwen3.8-flash,403b1e88ace162f505b3b9f5ef3fd957eaa493a2daa5901c30b41e9e8987659c,"E4155,E10436,E14375",success,benign,0.05,0.95,7.762,1324,435,5
E1383,retrieval_assisted,qwen3.8-flash,808c846bcc61b49ef755b2ddea8cf12db32e18c758d8bf8e1b942e17a22e84b0,"E2123,E2895,E3045",success,benign,0.05,0.98,8.712,1313,433,4
E1387,retrieval_assisted,qwen3.8-flash,d5c98c7148fb9116257edf06288273b982082f110ee0f26e454868c615bd7dd7,"E3025,E3060,E3140",success,benign,0.05,0.95,8.836,1198,351,4
E1391,retrieval_assisted,qwen3.8-flash,c8ca1b0f64f47da6a99c449800af117f2a5f133946df03b39300191930af52cc,"E3025,E3060,E3140",success,benign,0.05,0.95,7.155,1198,432,4
E1394,retrieval_assisted,qwen3.8-flash,08fa072f8b3a9545e97d9e382c47ad54dab64bee60b4dc823a4d8801fcc51b8b,"E1440,E2274,E2602",success,benign,0.05,0.98,8.351,1282,410,4
E14,retrieval_assisted,qwen3.8-flash,b5abb3f47217f4c4cd8ecebc18862164fe9a89145cd70797a4848ecc1eb50497,"E28984,E43175,E43524",success,benign,0.05,0.98,10.941,1537,566,4
E1400,retrieval_assisted,qwen3.8-flash,ee94f36a980a0ebf55996fd6214a3660a225d9b698b9505277dd6fce0a61e729,"E3572,E10398,E10644",success,benign,0.05,0.98,10.014,1316,607,4
E1403,retrieval_assisted,qwen3.8-flash,34d6f3cbaf8bbf617370cb12d3f16307287b0d6e2d9ed434cf8fa31129a3a647,"E5427,E12816,E26802",success,benign,0.05,0.95,10.969,1759,514,5
E141,retrieval_assisted,qwen3.8-flash,7bdffa77de9988b4abcb51aae08863ab56c2677ff57f93884184aef0852f3eca,"E16869,E31664,E43745",success,benign,0.05,0.95,4.596,1277,286,4
E1414,retrieval_assisted,qwen3.8-flash,546cd3b72979e882a5e3c1ff1d95ae9d56802803bca5dbad19a72e406603f639,"E1673,E176,E2623",success,benign,0.05,0.98,9.757,1310,613,4
E1415,retrieval_assisted,qwen3.8-flash,84872e13d4316f2b8d5e087e74a5168af7b839c5d6e7504499f6cfb4bc83235f,"E1132,E1229,E1517",success,benign,0.05,0.95,10.231,1160,438,5
E1416,retrieval_assisted,qwen3.8-flash,5950304ef4b166dc0dee5e089d79a90f297d1c3b6a9cc7c3007689b7bb27227d,"E60134,E30199,E18987",success,benign,0.05,0.95,9.042,1727,639,4
E1421,retrieval_assisted,qwen3.8-flash,e943be9770ba6f4f8f26abfa71f0ec224dae0d3ef3185cc8eed79eab4bd86e48,"E137,E1374,E4850",success,malicious,0.85,0.75,35.989,1236,1750,4
E1428,retrieval_assisted,qwen3.8-flash,cfeaea7db99ef8f9492002a30a0f22b5369b9d71f29b7142ce4591eb954efd7f,"E2271,E3237,E3711",success,benign,0.01,0.99,7.053,1280,332,4
E143,retrieval_assisted,qwen3.8-flash,93e7038730106388d0f329a39bd9e385248d2cb9e6f60c5bb67ad7b076b0ba0e,"E13936,E61038,E17746",success,benign,0.05,0.95,18.959,1349,966,4
E1433,retrieval_assisted,qwen3.8-flash,ee37f8d3cbc2baced975a19b5960feabd7c009cca82be0c59f7b56ac6b6574fd,"E3632,E6662,E669",success,malicious,0.85,0.8,23.618,1313,1295,4
E1434,retrieval_assisted,qwen3.8-flash,320983a0ca1ffde8962c1e198e8028ef15e407a84d270aa243563c75d5bffaf3,"E19095,E26255,E63424",success,malicious,0.65,0.75,50.384,1211,2546,5
E1438,retrieval_assisted,qwen3.8-flash,0dbf08d49914992f2b909cf2c233e1f4d98277efbaaec1a3bd73ba148d5e860c,"E8320,E44966,E36075",success,malicious,0.95,0.92,29.254,1634,1678,4
E1447,retrieval_assisted,qwen3.8-flash,3c2f49bad6c65a47a6e063f089ef88a1544cb778552fe1e1f2ac9f0508625bcb,"E3025,E3060,E3140",success,benign,0.0,1.0,6.569,1197,296,4
E1455,retrieval_assisted,qwen3.8-flash,bf8aa0f2f28f40dbf0b785f8e919b9c9f81ddd2ad50a8e09a66f7fd1474b8f8a,"E8371,E21309,E27935",success,benign,0.05,0.95,6.58,1322,428,5
E1464,retrieval_assisted,qwen3.8-flash,0283b7dbf7eda0d994054fd69b2496a47e638892d080fef7c4a579cd41f6cd40,"E32704,E6161,E34521",success,malicious,0.85,0.8,10.217,1532,615,5
E1465,retrieval_assisted,qwen3.8-flash,8f7c205ec2f9f81bb09e139bcee670c3b7312a6ae8c5c3219c616ba2319340a3,"E2271,E3237,E3711",success,benign,0.05,0.95,8.594,1281,419,4
E1466,retrieval_assisted,qwen3.8-flash,cfb72d44c9b582c549b63204a19a892e3b764307ec781007eaf758a6cda86d2e,"E3025,E3060,E3140",success,benign,0.05,0.95,9.424,1198,461,4
E1469,retrieval_assisted,qwen3.8-flash,945c89b70fea2ab46ca956ebc95bd014325d6687e9fc729e0dd11c6c6b380dcd,"E1769,E57507,E23425",success,benign,0.03,0.97,9.027,1294,534,7
E1471,retrieval_assisted,qwen3.8-flash,d318bbe06854199ab872b6e0bc6b4d6985d1ac5ecd065e7bb36e17cd2344172e,"E1807,E3031,E3318",success,benign,0.05,0.95,15.429,1313,806,4
E1476,retrieval_assisted,qwen3.8-flash,b96c7c9ba858dd5a24b366d018a2ca30da17413ee3e5a9cee60012cec81bfc3b,"E13492,E61411,E63567",success,benign,0.05,0.95,10.819,1237,630,4
E1478,retrieval_assisted,qwen3.8-flash,9307c0cc5d80c305480bd940152f8ff9f6f438a4bb6d70f30a2c10e87cad783d,"E34431,E6405,E53258",success,benign,0.05,0.95,44.321,1367,3291,4
E1486,retrieval_assisted,qwen3.8-flash,6e9ed024bca40070dcc9cad80e8812808d2a5519cbe5f91b371131184e98355b,"E1169,E3487,E18930",success,malicious,0.99,0.99,15.073,1481,739,4
E1502,retrieval_assisted,qwen3.8-flash,d29f44972027cf950956bd8abb5350670d7e7d5639a7365810f7ad1221686a5a,"E16605,E41192,E61300",success,benign,0.03,0.97,7.754,1324,463,5
E1504,retrieval_assisted,qwen3.8-flash,c659c247c66c4b7f60215e8dda1b68442aa55a805c12a62b2075f7e15cc778d9,"E2271,E3237,E3711",success,benign,0.01,0.99,7.759,1279,409,5
E1505,retrieval_assisted,qwen3.8-flash,f6000b1c697c23139162b346e351e9306eff26e812137276901f523e427e644a,"E5079,E6170,E28478",success,benign,0.01,0.99,9.04,1237,588,4
E1510,retrieval_assisted,qwen3.8-flash,57fa67f8a07a2ee68877dba04b62e7715545b98feb4ffe5f2615d21a04c1eab8,"E3833,E18724,E52147",success,benign,0.05,0.95,9.593,1353,536,4
E1511,retrieval_assisted,qwen3.8-flash,0e245b9ec50fb969b4713756d499b0efb9b1ffc3f39a7de5e14472c483a0d442,"E3025,E3060,E3140",success,benign,0.05,0.95,7.675,1198,307,4
E1518,retrieval_assisted,qwen3.8-flash,e0ffed4ffb86d98fbac2e012817bc2fe9ca2f3491796d42e38295cc90dca0953,"E4213,E82,E48142",success,malicious,0.85,0.75,17.375,1221,1095,4
E1519,retrieval_assisted,qwen3.8-flash,702fa09861b70a0aada399ff2fa2d2250e7ec788817fe8fbd6d02e5d07345a0d,"E1149,E26772,E23212",success,malicious,0.75,0.85,14.662,1340,766,5
E1521,retrieval_assisted,qwen3.8-flash,27d8683816f335a16343bfc924d4c68ed3edd0a69431e98e6c90f52f3b12116f,"E2271,E3237,E3711",success,benign,0.05,0.95,6.733,1280,322,5
E1524,retrieval_assisted,qwen3.8-flash,4da1acd9add45caedf7e1c1e4a08e8393c1a770c60538cb34857ef8e234b1aba,"E2174,E4465,E5623",success,benign,0.02,0.99,6.126,1198,275,4
